Model,Train_Lang,Test_Lang,Target_Class,Precision,Recall,F1
AfroLM,sna,sna,CCONJ,0.7404921700223713,0.8597402597402597,0.7956730769230769
AfroLM,sna,sna,PUNCT,0.9641495041952708,0.996845425867508,0.9802248933695232
AfroLM,sna,sna,ADV,0.4459459459459459,0.2721649484536082,0.3380281690140845
AfroLM,sna,sna,DET,0.7703619909502263,0.8254545454545454,0.796957284961966
AfroLM,sna,sna,SYM,0.0,0.0,0.0
AfroLM,sna,sna,AUX,0.845679012345679,0.819377990430622,0.8323207776427703
AfroLM,sna,sna,SCONJ,0.8506787330316742,0.6064516129032258,0.7080979284369114
AfroLM,sna,sna,PRON,0.6958762886597938,0.5510204081632653,0.6150341685649203
AfroLM,sna,sna,NUM,0.8682745825602969,0.9140625,0.89058039961941
AfroLM,sna,sna,PART,0.0,0.0,0.0
AfroLM,all,sna,NOUN,0.9373015873015872,0.939538583929992,0.9384187524831148
AfroLM,all,sna,ADP,0.8395113732097725,0.9513126491646778,0.8919221302304766
AfroLM,all,sna,PROPN,0.9484953703703703,0.9414129810453762,0.9449409051599884
AfroLM,all,sna,ADJ,0.7343173431734318,0.3841698841698842,0.5044359949302915
AfroLM,all,sna,VERB,0.8852772466539197,0.9391480730223124,0.9114173228346456
AfroLM,all,sna,CCONJ,0.7990196078431373,0.8467532467532467,0.8221941992433796
AfroLM,all,sna,PUNCT,0.9633867276887872,0.9960567823343848,0.9794493989918572
AfroLM,all,sna,ADV,0.5059880239520959,0.3484536082474226,0.4126984126984127
AfroLM,all,sna,DET,0.8339483394833949,0.8218181818181818,0.8278388278388278
AfroLM,all,sna,SYM,0.0,0.0,0.0
AfroLM,all,sna,AUX,0.8690476190476191,0.8732057416267942,0.8711217183770883
AfroLM,all,sna,SCONJ,0.8613445378151261,0.6612903225806451,0.7481751824817519
AfroLM,all,sna,PRON,0.6592592592592592,0.726530612244898,0.6912621359223301
AfroLM,all,sna,NUM,0.91412213740458,0.935546875,0.9247104247104247
AfroLM,all,sna,PART,0.0,0.0,0.0
AfroLM,all,kin,SYM,0.0,0.0,0.0
AfroLM,all,kin,VERB,0.9816781731279872,0.9764923402007396,0.9790783898305084
AfroLM,all,kin,NUM,0.9444444444444444,1.0,0.9714285714285714
AfroLM,all,kin,PUNCT,0.9973504920514762,0.9996206373292869,0.9984842743463432
AfroLM,all,kin,NOUN,0.9610753290394848,0.9656724817107484,0.9633684210526317
AfroLM,all,kin,ADP,0.9936993699369936,0.9883616830796778,0.9910233393177738
AfroLM,all,kin,PROPN,0.924934725848564,0.965258855585831,0.9446666666666668
AfroLM,all,kin,PRON,0.9589498806682576,0.9658653846153846,0.9623952095808384
AfroLM,all,kin,DET,1.0,0.9833333333333332,0.9915966386554622
AfroLM,all,kin,CCONJ,0.9890776699029126,0.9842995169082126,0.986682808716707
AfroLM,all,kin,ADJ,0.8294117647058824,0.6714285714285714,0.7421052631578947
AfroLM,all,kin,ADV,0.902439024390244,0.7773109243697479,0.835214446952596
AfroLM,all,kin,SCONJ,0.925207756232687,0.9709302325581396,0.947517730496454
AfroLM,all,kin,PART,1.0,0.3684210526315789,0.5384615384615384
AfroLM,all,kin,AUX,0.0,0.0,0.0
AfroLM,all,kin,X,0.0,0.0,0.0
